Nr KP/M PSP,Nazwa KP/M PSP,Nazwa KW PSP,RAZEM Pożar (P),Mały (P/M),Średni (P/Ś),Duży (P/D),Bardzo duży (P/BD),RAZEM Miejscowe zagrożenie (MZ),Małe (MZ/M),Lokalne (MZ/L),Średnie (MZ/Ś),Duże (MZ/D),Gigantyczne lub klęska żywiołowa (MZ/K),RAZEM Alarm fałszywy (AF),Złośliwy (A/Z),W dobrej wierze (A/DW),Z instalacji wykrywania (A/IW),OGÓŁEM
1602000,KP PSP Białogard,KW PSP Szczecin,128,124,4,0,0,328,42,284,2,0,0,45,2,37,6,501
1603000,KP PSP Choszczno,KW PSP Szczecin,230,222,8,0,0,530,70,448,11,1,0,55,4,45,6,815
1604000,KP PSP Drawsko Pomorskie,KW PSP Szczecin,194,183,10,1,0,641,36,579,24,2,0,81,3,69,9,916
1605000,KP PSP Goleniów,KW PSP Szczecin,401,390,10,1,0,780,135,633,12,0,0,60,6,44,10,1241
1606000,KP PSP Gryfice,KW PSP Szczecin,225,215,9,1,0,546,48,486,12,0,0,82,3,70,9,853
1607000,KP PSP Gryfino,KW PSP Szczecin,401,379,18,4,0,1056,89,904,60,3,0,104,3,87,14,1561
1608000,KP PSP Kamień Pomorski,KW PSP Szczecin,185,176,8,1,0,689,22,647,20,0,0,88,5,58,25,962
1609000,KP PSP Kołobrzeg,KW PSP Szczecin,256,248,6,1,1,826,124,691,11,0,0,234,1,72,161,1316
1610000,KM PSP Koszalin,KW PSP Szczecin,452,432,16,4,0,1458,212,1208,38,0,0,226,2,195,29,2136
1612000,KP PSP Myślibórz,KW PSP Szczecin,253,242,9,2,0,746,76,648,22,0,0,81,2,67,12,1080
1613000,KP PSP Police,KW PSP Szczecin,196,185,10,1,0,616,118,488,10,0,0,78,0,71,7,890
1614000,KP PSP Pyrzyce,KW PSP Szczecin,191,183,8,0,0,282,55,220,7,0,0,24,0,18,6,497
1615000,KP PSP Sławno,KW PSP Szczecin,182,175,5,2,0,570,57,503,10,0,0,33,1,27,5,785
1616000,KP PSP Stargard,KW PSP Szczecin,439,413,19,6,1,850,87,744,19,0,0,153,9,102,42,1442
1617000,KP PSP Szczecinek,KW PSP Szczecin,238,235,3,0,0,722,78,629,14,1,0,130,7,97,26,1090
1618000,KP PSP Świdwin,KW PSP Szczecin,161,153,8,0,0,450,59,387,4,0,0,41,3,36,2,652
1619000,KM PSP Świnoujście,KW PSP Szczecin,120,117,3,0,0,376,70,301,5,0,0,292,2,128,162,788
1620000,KP PSP Wałcz,KW PSP Szczecin,145,139,5,1,0,443,68,364,11,0,0,70,1,53,16,658
1621000,KP PSP Łobez,KW PSP Szczecin,141,137,3,1,0,385,19,357,9,0,0,37,6,23,8,563
